t,x,y,z,vx,vy,vz,energy,h_mag
2364.8927839,-4770550.30137,14143578.4283,0,-5592.21209654,2422.05650434,0,-8134702.88729,67539347988.6
2452.82452036,-5260051.35235,14350122.6375,0,-5541.22180219,2277.13830764,0,-8134702.88723,67539347988.7
2543.43037008,-5759690.38231,14549992.076,0,-5487.44637505,2136.04420882,0,-8134702.88718,67539347988.8
2636.67844948,-6268765.77115,14742718.5448,0,-5431.15172162,1998.89319124,0,-8134702.88714,67539347988.8
2732.54383704,-6786622.70596,14927900.375,0,-5372.592107,1865.75448323,0,-8134702.88709,67539347988.9
2831.00798661,-7312650.3119,15105193.4659,0,-5312.00783533,1736.65600218,0,-8134702.88706,67539347989
2932.05493044,-7846261.54399,15274297.9994,0,-5249.62582776,1611.59569036,0,-8134702.88702,67539347989.1
3035.66911442,-8386882.49757,15434950.7715,0,-5185.65990067,1490.5487586,0,-8134702.88699,67539347989.1
3141.83237118,-8933937.80803,15586918.093,0,-5120.31202815,1373.47454928,0,-8134702.88697,67539347989.2
3250.52124234,-9486838.76836,15729991.3144,0,-5053.77366418,1260.32160399,0,-8134702.88694,67539347989.3
3361.70393203,-10044970.516,15863983.6516,0,-4986.22742604,1151.03198781,0,-8134702.88692,67539347989.3
3475.33712224,-10607679.6617,15988728.6338,0,-4917.84888786,1045.5447086,0,-8134702.88691,67539347989.4
3591.36235777,-11174261.0511,16104079.7799,0,-4848.80857691,943.798620976,0,-8134702.88689,67539347989.4
3709.70191934,-11743943.5009,16209911.5132,0,-4779.27414828,845.734914396,0,-8134702.88688,67539347989.4
3830.25391306,-12315873.4745,16306121.2123,0,-4709.41283315,751.299412551,0,-8134702.88687,67539347989.5
3952.88627885,-12889095.6766,16392632.4332,0,-4639.39426568,660.44485464,0,-8134702.88686,67539347989.5
4077.42922928,-13462528.8036,16469399.3745,0,-4569.3938897,573.133398039,0,-8134702.88685,67539347989.6
4203.66539316,-14034933.8512,16536412.7719,0,-4499.59725213,489.339640045,0,-8134702.88685,67539347989.6
4331.31646456,-14604870.6139,16593707.54,0,-4430.20570537,409.054621948,0,-8134702.88684,67539347989.6
4460.02430462,-15170634.8361,16641372.7145,0,-4361.44442277,332.291580254,0,-8134702.88684,67539347989.6
4589.32270487,-15730161.9292,16679564.6511,0,-4293.57441557,259.094857235,0,-8134702.88684,67539347989.7
4718.59219746,-16280868.6672,16708525.2459,0,-4226.91197439,189.554839463,0,-8134702.88684,67539347989.7
4846.98086443,-16819368.2601,16728608.724,0,-4161.86326426,123.835454968,0,-8134702.88683,67539347989.7
4973.24664156,-17340888.6711,16740325.1693,0,-4098.99442414,62.2316167297,0,-8134702.88683,67539347989.7
5095.37520007,-17837831.8414,16744424.0226,0,-4039.20444711,5.3147707265,0,-8134702.88683,67539347989.7
5209.25850159,-18294697.3349,16742113.7091,0,-3984.3331642,-45.5426555867,0,-8134702.88683,67539347989.7
5321.38300552,-18738448.1127,16734292.687,0,-3931.12160492,-93.6474810657,0,-8134702.88683,67539347989.7
5445.08029135,-19221133.1182,16719535.9987,0,-3873.33009447,-144.583881878,0,-8134702.88683,67539347989.7
5573.17247131,-19713495.9668,16697756.5595,0,-3814.46732343,-195.11005178,0,-8134702.88683,67539347989.7
5709.9445363,-20230971.209,16667514.8854,0,-3752.68700292,-246.719816696,0,-8134702.88683,67539347989.7
5853.90305195,-20766591.2269,16628234.377,0,-3688.81832828,-298.595575228,0,-8134702.88683,67539347989.7
6006.53800633,-21324545.3027,16578623.637,0,-3622.35360598,-351.037303246,0,-8134702.88683,67539347989.7
6167.74565863,-21902928.772,16517748.9007,0,-3553.50618147,-403.755372589,0,-8134702.88683,67539347989.8
6338.22418651,-22502622.1945,16444362.7384,0,-3482.15039937,-456.729159112,0,-8134702.88683,67539347989.8
6518.23027946,-23122765.6448,16357330.6346,0,-3408.35928344,-509.78712712,0,-8134702.88683,67539347989.8
6708.24136852,-23763122.4022,16255380.1892,0,-3332.12167268,-562.823484948,0,-8134702.88683,67539347989.8
6908.6160334,-24422887.126,16137257.1301,0,-3253.48252467,-615.695590912,0,-8134702.88683,67539347989.8
7119.77812536,-25101312.8728,16001639.3718,0,-3172.46668472,-668.278996672,0,-8134702.88683,67539347989.9
7342.12345707,-25797393.4318,15847193.0226,0,-3089.11507081,-720.442754922,0,-8134702.88683,67539347989.9
7576.07029024,-26510023.3644,15672546.89,0,-3003.46387697,-772.063429161,0,-8134702.88683,67539347989.9
7822.03235663,-27237906.6013,15476315.2281,0,-2915.5537465,-823.019164902,0,-8134702.88683,67539347990
8080.43089287,-27979589.1077,15257094.8943,0,-2825.42407488,-873.193121921,0,-8134702.88683,67539347990.1
8351.68444346,-28733424.1972,15013479.5035,0,-2733.11539855,-922.471884705,0,-8134702.88684,67539347990.1
8636.20850165,-29497569.1733,14744067.1756,0,-2638.66804491,-970.746060933,0,-8134702.88684,67539347990.2
8934.40767574,-30269962.9963,14447476.0267,0,-2542.12317846,-1017.90954671,0,-8134702.88684,67539347990.3
9246.66864388,-31048310.2281,14122361.0018,0,-2443.52326281,-1063.85919601,0,-8134702.88684,67539347990.4
9573.34805351,-31830057.217,13767438.0688,0,-2342.91379967,-1108.49399712,0,-8134702.88685,67539347990.5
9914.75607421,-32612365.897,13381516.2749,0,-2240.3459136,-1151.71413215,0,-8134702.88685,67539347990.6
10271.1317881,-33392080.566,12963543.0988,0,-2135.88074162,-1193.41967519,0,-8134702.88686,67539347990.7
10642.6079656,-34165689.213,12512667.8399,0,-2029.59603285,-1233.50905406,0,-8134702.88687,67539347990.8
11029.1618412,-34929281.6415,12028329.2716,0,-1921.59557,-1271.87739514,0,-8134702.88687,67539347991
11430.5511279,-35678514.7286,11510370.7086,0,-1812.02125937,-1308.41521624,0,-8134702.88688,67539347991.2
11846.2399146,-36408605.3937,10959177.674,0,-1701.06642826,-1343.00828719,0,-8134702.8869,67539347991.3
12275.3292559,-37114383.8653,10375817.0963,0,-1588.98663034,-1375.53983199,0,-8134702.88691,67539347991.5
12716.5177511,-37790441.3475,9762137.72298,0,-1476.10235782,-1405.89608343,0,-8134702.88692,67539347991.7
13168.1183257,-38431383.0538,9120784.46038,0,-1362.7887756,-1433.9750726,0,-8134702.88693,67539347991.8
13628.1388789,-39032148.9072,8455102.89131,0,-1249.45269475,-1459.69664739,0,-8134702.88695,67539347992
14094.4038247,-39588321.7931,7768958.20792,0,-1136.50390802,-1483.0104932,0,-8134702.88696,67539347992.1
14564.675346,-40096346.6962,7066528.82827,0,-1024.3308572,-1503.89971727,0,-8134702.88698,67539347992.3
15036.7414204,-40553631.0828,6352131.68914,0,-913.287132622,-1522.37977729,0,-8134702.88699,67539347992.4
15508.4594105,-40958545.5546,5630107.04141,0,-803.689598219,-1538.49431598,0,-8134702.887,67539347992.5
15977.7599243,-41310364.8746,4904764.6196,0,-695.825534913,-1552.30987967,0,-8134702.88701,67539347992.6
16442.6197171,-41609186.4619,4180383.02186,0,-589.965908249,-1563.91100283,0,-8134702.88703,67539347992.7
16901.0085892,-41855852.0962,3461256.74877,0,-486.383298354,-1573.3964839,0,-8134702.88703,67539347992.7
17350.8073382,-42051889.0826,2751795.6745,0,-385.375158882,-1580.87723876,0,-8134702.88704,67539347992.8
17789.6810285,-42199483.0325,2056700.922,0,-287.296104487,-1586.47597124,0,-8134702.88705,67539347992.8
18214.865544,-42301497.4869,1381282.41369,0,-192.608855162,-1590.32906079,0,-8134702.88706,67539347992.8
18622.7540239,-42361571.8621,732096.569145,0,-101.979382762,-1592.59173518,0,-8134702.88706,67539347992.9
19007.9148331,-42384386.6371,118487.634212,0,-16.4985732496,-1593.44981666,0,-8134702.88706,67539347992.9
19359.8106209,-42376454.4209,-442218.463908,0,61.5842288539,-1593.15155627,0,-8134702.88707,67539347992.9
19688.1418042,-42344269.2413,-965125.664888,0,134.479891916,-1591.94052007,0,-8134702.88707,67539347992.9
20047.7226098,-42281544.762,-1537164.50745,0,214.41916106,-1589.57651257,0,-8134702.88707,67539347992.9
20408.2050742,-42189780.7633,-2109587.13689,0,294.733070344,-1586.10880854,0,-8134702.88707,67539347992.9
20784.9414137,-42062894.2067,-2706263.75856,0,378.926402189,-1581.29568728,0,-8134702.88707,67539347992.9
21170.6690876,-41900051.2356,-3315057.98125,0,465.481522542,-1575.08756697,0,-8134702.88708,67539347992.9
21569.3006464,-41696591.4956,-3941429.23063,0,555.395609853,-1567.28147692,0,-8134702.88708,67539347992.9
21978.8102255,-41450140.3632,-4581347.7248,0,648.353006732,-1557.75147816,0,-8134702.88709,67539347992.9
22399.9220279,-41156857.476,-5234984.37832,0,744.678865543,-1546.30284399,0,-8134702.88709,67539347992.9
22831.7355649,-40813810.1487,-5899842.08338,0,844.35168264,-1532.76075364,0,-8134702.8871,67539347993
23273.9620605,-40417648.384,-6574241.43263,0,947.51267295,-1516.91583681,0,-8134702.88711,67539347993
23725.7856093,-39965489.1598,-7255556.80123,0,1054.20489244,-1498.55552315,0,-8134702.88713,67539347993
24186.4043478,-39454563.8358,-7941053.46574,0,1164.49778047,-1477.44654079,0,-8134702.88715,67539347993
24654.684111,-38882657.318,-8627376.9275,0,1278.40371759,-1453.34915754,0,-8134702.88717,67539347993
25129.2194856,-38248221.104,-9310678.2026,0,1395.88712593,-1426.0190561,0,-8134702.8872,67539347993
25608.1604061,-37550815.1586,-9986416.77834,0,1516.81286773,-1395.22463893,0,-8134702.88723,67539347993
26089.1709107,-36791476.5667,-10649394.9436,0,1640.92026438,-1360.76463079,0,-8134702.88728,67539347992.9
26569.4195394,-35973085.4697,-11293871.8643,0,1767.79889302,-1322.49022268,0,-8134702.88733,67539347992.9
27045.7383525,-35100438.1037,-11913930.3954,0,1896.90407971,-1280.31919965,0,-8134702.88739,67539347992.8
27514.888814,-34179990.5223,-12503969.2429,0,2027.60330541,-1234.23845298,0,-8134702.88746,67539347992.7
27973.8487718,-33219344.7876,-13059168.693,0,2159.23719001,-1184.29504049,0,-8134702.88754,67539347992.6
28420.0069637,-32226705.7666,-13575770.1286,0,2291.16646928,-1130.5840238,0,-8134702.88762,67539347992.5
28851.2436256,-31210441.667,-14051158.1502,0,2422.79648779,-1073.23862104,0,-8134702.88771,67539347992.4
29265.9276604,-30178778.7009,-14483807.7033,0,2553.58372616,-1012.42441423,0,-8134702.8878,67539347992.2
29662.8730338,-29139597.6531,-14873167.1811,0,2683.03340188,-948.336486401,0,-8134702.88789,67539347992.1
30041.2808855,-28100300.0208,-15219520.0642,0,2810.69401861,-881.198206534,0,-8134702.88797,67539347992
30400.6801816,-27067722.2654,-15523845.7936,0,2936.15170232,-811.260789629,0,-8134702.88805,67539347991.9
30740.8710395,-26048088.6621,-15787688.001,0,3059.02499496,-738.803373777,0,-8134702.88813,67539347991.8
31061.8713908,-25046999.0073,-16013033.4719,0,3178.95985081,-664.133754705,0,-8134702.8882,67539347991.7
31363.8663094,-24069450.3977,-16202203.6358,0,3295.62417394,-587.590235112,0,-8134702.88826,67539347991.6
31647.1589413,-23119893.6282,-16357760.0932,0,3408.70108392,-509.545312821,0,-8134702.88832,67539347991.6
31912.1214654,-22202326.9181,-16482425.584,0,3517.87987251,-430.412308353,0,-8134702.88836,67539347991.5
32159.1432934,-21320434.829,-16579021.7495,0,3622.84304955,-350.656744948,0,-8134702.8884,67539347991.5
32388.5708453,-20477792.4334,-16650425.2778,0,3723.24648107,-270.815845304,0,-8134702.88843,67539347991.5
32600.6263084,-19678184.41,-16699545.2243,0,3818.68613114,-191.53323134,0,-8134702.88845,67539347991.4
32795.2739461,-18926169.239,-16729328.246,0,3908.6352762,-113.626029375,0,-8134702.88847,67539347991.4
32971.939701,-18228285.5626,-16742811.2977,0,3992.3038685,-38.2349549783,0,-8134702.88848,67539347991.4
33101.9667321,-17705103.4026,-16744003.6691,0,4055.16283097,20.3508175633,0,-8134702.88848,67539347991.4
33224.4472695,-17204746.5312,-16737999.505,0,4115.39408502,78.1247293656,0,-8134702.88848,67539347991.4
33351.4718322,-16677966.7001,-16724121.6149,0,4178.93091957,140.880538366,0,-8134702.88848,67539347991.4
33478.9313102,-16141199.9481,-16701987.8989,0,4243.80549595,206.963550278,0,-8134702.88849,67539347991.4
33608.0037573,-15589139.318,-16670773.9012,0,4310.66726374,277.296343152,0,-8134702.88849,67539347991.4
33737.7554158,-15025397.656,-16630007.4172,0,4379.08363862,351.72748971,0,-8134702.88849,67539347991.4
33868.2957542,-14449190.9603,-16578985.5227,0,4449.14862375,430.68311902,0,-8134702.8885,67539347991.4
33999.1644818,-13862272.1779,-16517203.2994,0,4520.64091848,514.273346479,0,-8134702.8885,67539347991.4
34130.1342762,-13265450.9285,-16444109.9578,0,4593.4443838,602.750451812,0,-8134702.88851,67539347991.4
34260.8364603,-12660261.8007,-16359276.6144,0,4667.34305668,696.273763195,0,-8134702.88852,67539347991.4
34390.9662995,-12048048.0963,-16262308.412,0,4742.13065523,795.036936868,0,-8134702.88853,67539347991.4
34520.1988058,-11430348.7831,-16152901.0152,0,4817.56125823,899.206344647,0,-8134702.88854,67539347991.4
34648.2428295,-10808645.9857,-16030809.1739,0,4893.37801268,1008.95719592,0,-8134702.88856,67539347991.4
34774.8233879,-10184443.9213,-15895861.6046,0,4969.30137591,1124.45795176,0,-8134702.88858,67539347991.4
34899.6960378,-9559193.42498,-15747947.3169,0,5045.03619778,1245.88087443,0,-8134702.8886,67539347991.3
35022.6429703,-8934302.80327,-15587016.0079,0,5120.2682491,1373.39817579,0,-8134702.88862,67539347991.3
35143.4759763,-8311114.09706,-15413069.7903,0,5194.66491981,1507.18481403,0,-8134702.88865,67539347991.3
35262.0343916,-7690903.90316,-15226159.4754,0,5267.87288821,1647.41685248,0,-8134702.88868,67539347991.3
35378.1841119,-7074878.95401,-15026379.0903,0,5339.51637549,1794.2708714,0,-8134702.88871,67539347991.2
