t,x,y,z,vx,vy,vz,energy,h_mag
3723.72679788,-3245744.24691,-5950330.10234,0,6732.20915543,-3672.23814253,0,-29403986.5474,51978012617.2
3767.02293637,-2950488.7444,-6102122.59901,0,6903.94733113,-3338.18578512,0,-29403986.5471,51978012617.4
3809.81100571,-2651740.87062,-6237752.35163,0,7057.39896277,-3000.18215552,0,-29403986.5469,51978012617.5
3851.98557,-2351192.84499,-6357135.85288,0,7192.46957009,-2660.14183239,0,-29403986.5468,51978012617.7
3893.44584877,-2050514.11545,-6460392.86032,0,7309.2946469,-2319.95363075,0,-29403986.5466,51978012617.8
3934.0919813,-1751356.41916,-6547826.71896,0,7408.21739803,-1981.48632758,0,-29403986.5465,51978012618
3973.8200758,-1455372.26522,-6619907.52346,0,7489.76968904,-1646.60957327,0,-29403986.5463,51978012618.1
4012.51547541,-1164250.68199,-6677260.24656,0,7554.65861467,-1317.23433611,0,-29403986.5462,51978012618.2
4050.04287887,-879779.877631,-6720660.04339,0,7603.7611862,-995.383796509,0,-29403986.5461,51978012618.3
4086.23016254,-603960.008778,-6751038.16912,0,7638.13102659,-683.320933614,0,-29403986.5461,51978012618.3
4120.83785123,-339226.572171,-6769505.84512,0,7659.02537277,-383.801270755,0,-29403986.546,51978012618.4
4153.4892971,-88973.7510166,-6777416.00665,0,7667.974937,-100.664990051,0,-29403986.546,51978012618.4
4183.45339588,140797.322568,-6776537.47652,0,7666.98096709,159.298221896,0,-29403986.5459,51978012618.4
4209.874824,343276.8366,-6769301.66792,0,7658.79436625,388.383737309,0,-29403986.5459,51978012618.4
4239.75495737,571882.903544,-6753831.06123,0,7641.290907,647.028859618,0,-29403986.5459,51978012618.5
4269.25132981,796913.007072,-6730989.05951,0,7615.44744437,901.628133501,0,-29403986.5459,51978012618.5
4300.29820129,1032808.61408,-6698849.93322,0,7579.08520615,1168.52064839,0,-29403986.5459,51978012618.5
4331.98444195,1272246.27648,-6657527.57968,0,7532.33305585,1439.42064812,0,-29403986.5458,51978012618.5
4364.81640725,1518613.06204,-6605686.82508,0,7473.68037657,1718.1602644,0,-29403986.5458,51978012618.6
4398.56311984,1769657.15361,-6542904.37214,0,7402.64824934,2002.19178917,0,-29403986.5457,51978012618.6
