t,x,y,z,vx,vy,vz,energy,h_mag
2579.79973759,-6617566.66036,929390.494157,1172598.97354,-1691.20663463,-4641.31624527,-5855.88372089,-29403986.5522,51977986623.9
2616.37122214,-6673751.57176,758905.814924,957500.840807,-1380.96519103,-4680.72390248,-5905.60381022,-29403986.5521,51977986624
2651.89268478,-6717419.36225,592073.292586,747010.583294,-1077.37657255,-4711.35169825,-5944.2464713,-29403986.5521,51977986624
2686.23188957,-6749352.28218,429884.333617,542379.044664,-782.242902225,-4733.74861918,-5972.50435285,-29403986.552,51977986624.1
2719.2093564,-6770459.39787,273515.111861,345090.186991,-497.702691547,-4748.55248636,-5991.18218479,-29403986.552,51977986624.1
2750.55760932,-6781813.00735,124515.900966,157099.96883,-226.575400156,-4756.51551287,-6001.22902384,-29403986.5519,51977986624.1
2779.81469485,-6784736.74881,-14688.5504129,-18532.338393,26.7280097814,-4758.566119,-6003.81624489,-29403986.5519,51977986624.1
2805.89705321,-6781094.64558,-138778.842469,-175095.32242,252.528984965,-4756.01167958,-6000.59334444,-29403986.5519,51977986624.2
2832.40409888,-6771361.71903,-264765.603025,-334051.0542,481.78154676,-4749.18534374,-5991.98065209,-29403986.5519,51977986624.2
2860.01581916,-6754766.9943,-395748.714944,-499310.612538,720.127133884,-4737.54633641,-5977.2958795,-29403986.5519,51977986624.2
2888.28595518,-6730967.77492,-529455.2157,-668006.232438,963.430557157,-4720.85422841,-5956.23568056,-29403986.5519,51977986624.2
2917.48452115,-6699180.45694,-666984.37087,-841524.84189,1213.69308707,-4698.55930844,-5928.1064922,-29403986.5519,51977986624.2
2947.52911908,-6658863.91294,-807739.419087,-1019113.51543,1469.82990603,-4670.28187798,-5892.42925411,-29403986.5518,51977986624.2
2978.4980157,-6609279.11558,-951849.072219,-1200934.64703,1732.07648996,-4635.50337022,-5848.54969783,-29403986.5518,51977986624.3
3010.36979103,-6549802.60777,-1098941.88982,-1386519.59546,1999.75831657,-4593.78619987,-5795.9157281,-29403986.5518,51977986624.3
3043.15838701,-6479754.94122,-1248777.33076,-1575564.87336,2272.43920701,-4544.65341898,-5733.92558639,-29403986.5517,51977986624.3
3076.84814483,-6398522.32753,-1400944.17007,-1767551.64394,2549.37249359,-4487.6740305,-5662.03548975,-29403986.5517,51977986624.4
3111.4297893,-6305500.15227,-1555026.68925,-1961955.401,2829.80343563,-4422.42335643,-5579.70962788,-29403986.5516,51977986624.4
3146.88433397,-6200139.28765,-1710532.3161,-2158154.67307,3112.837505,-4348.51551186,-5486.46113522,-29403986.5516,51977986624.5
3183.1926077,-6081932.8134,-1866935.989,-2355486.99726,3397.52109416,-4265.5940812,-5381.84032719,-29403986.5515,51977986624.5
3220.33095253,-5950437.66983,-2023663.16161,-2553227.47652,3682.81054557,-4173.34729996,-5265.45385489,-29403986.5514,51977986624.6
3258.27311815,-5805279.06258,-2180101.03649,-2750602.95287,3967.59255269,-4071.51114081,-5136.96859876,-29403986.5513,51977986624.7
3296.98817358,-5646168.40123,-2335593.7743,-2946785.96303,4250.67538665,-3959.8818981,-4996.12754623,-29403986.5512,51977986624.8
3336.43957992,-5472919.15075,-2489444.44648,-3140897.20197,4530.79238823,-3838.32731449,-4842.76383005,-29403986.5511,51977986624.9
3376.58285302,-5285470.34901,-2640913.57492,-3332003.68051,4806.59923656,-3706.8030939,-4676.82156247,-29403986.551,51977986625
3417.36328323,-5083912.61858,-2789221.06595,-3519121.1654,5076.67738558,-3565.37117503,-4498.3788907,-29403986.5508,51977986625.1
3458.71336962,-4868517.71319,-2933550.74251,-3701219.89747,5339.54222022,-3414.22049792,-4307.67419774,-29403986.5507,51977986625.3
3500.55085185,-4639766.30248,-3073061.01557,-3877238.05563,5593.66238417,-3253.68654896,-4105.13076206,-29403986.5505,51977986625.4
3542.77787361,-4398368.7544,-3206902.91764,-4046104.50947,5837.49251556,-3084.26600712,-3891.37523658,-29403986.5503,51977986625.6
3585.28199636,-4145271.5861,-3334246.1893,-4206771.73231,6069.52066319,-2906.6213452,-3667.24345394,-29403986.5501,51977986625.7
3627.9392293,-3881644.81807,-3454311.10885,-4358255.96022,6288.32619388,-2721.57203546,-3433.76933083,-29403986.5499,51977986625.9
3670.61863097,-3608849.99457,-3566401.45231,-4499678.77712,6492.63980408,-2530.07218456,-3192.15665024,-29403986.5497,51977986626.1
3713.18742412,-3328394.55952,-3669932.87975,-4630302.92952,6681.39525224,-2333.17858161,-2943.73874822,-29403986.5496,51977986626.2
3755.51544513,-3041881.68058,-3764452.42477,-4749556.91604,6853.7649321,-2132.01553508,-2689.93414903,-29403986.5494,51977986626.4
